"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,30,"E","Fail","7ef1787"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",2,41,"D","3rd","7ef1787"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,49,"D","3rd","b7106b5c"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,39,"E","Fail","b7106b5c"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,45,"FF","FF","b7106b5c"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,46,"D","3rd","b7106b5c"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,55,"C","2.2","b34805c5"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,55,"C","2.2","b34805c5"
"2014/5","PHYS08035","Mathematics for Physics 1",1,55,"C","2.2","6cb1697e"
"2014/5","PHYS08036","Mathematics for Physics 2",1,53,"C","2.2","6cb1697e"
"2014/5","MATH08057","Introduction to Linear Algebra",1,39,"E","Fail","2cd9e5ba"
"2014/5","MATH08057","Introduction to Linear Algebra",2,55,"C","2.2","2cd9e5ba"
"2014/5","MATH08058","Calculus and its Applications",1,58,"C","2.2","2cd9e5ba"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,66,"B","2.1","d511634"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,52,"C","2.2","d511634"
"2014/5","MATH08057","Introduction to Linear Algebra",1,42,"FF","FF","8ef96464"
"2014/5","MATH08057","Introduction to Linear Algebra",2,51,"C","2.2","8ef96464"
"2014/5","MATH08057","Introduction to Linear Algebra",1,60,"B","2.1","7437cca2"
"2014/5","MATH08058","Calculus and its Applications",1,58,"C","2.2","7437cca2"
"2014/5","MATH08059","Proofs and Problem Solving",1,45,"D","3rd","7437cca2"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,69,"B","2.1","7437cca2"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,45,"D","3rd","7437cca2"
"2015/6","MATH08066","Probability",1,51,"C","2.2","7437cca2"
"2015/6","MATH08068","Facets of Mathematics",1,56,"C","2.2","7437cca2"
"2014/5","MATH08057","Introduction to Linear Algebra",1,72,"A3","1st","a21cd60"
"2014/5","MATH08058","Calculus and its Applications",1,76,"A3","1st","a21cd60"
"2014/5","MATH08059","Proofs and Problem Solving",1,83,"A2","1st","a21cd60"
"2015/6","MATH08051","Statistics (Year 2)",1,46,"D","3rd","a21cd60"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,63,"B","2.1","a21cd60"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,64,"B","2.1","a21cd60"
"2015/6","MATH08065","Computing and Numerics",1,89,"A2","1st","a21cd60"
"2015/6","MATH08066","Probability",1,29,"F","Fail","a21cd60"
